"Election ID","Election Name","Society ID","Society Name","Election Start Date","Election End Date"
588,"Paintballing AGM 22/23 Error",269,Paintballing,"2022-08-10 09:41:00","2022-08-10 10:00:00"
589,"Erasmus AGM",117,"Erasmus and International Exchange","2022-05-26 15:19:00","2022-06-02 15:20:00"
590,"Synchronised Swimming EGM",471,"Synchronised Swimming","2022-06-01 00:01:00","2022-06-05 17:00:00"
591,"Plant Soc AGM",446,"Plant Society","2022-06-06 09:00:00","2022-06-10 20:00:00"
592,"HaemSoc election",443,HaemSoc,"2022-07-29 00:00:00","2022-07-31 23:58:00"
593,"Aikido Election!",9,Aikido,"2022-07-09 00:00:00","2022-07-14 00:00:00"
594,"Motorsport Society EGM",244,"Motorsport Society","2022-06-06 08:00:00","2022-06-11 17:59:00"
595,"ARSOC AGM",21,Architecture,"2022-06-21 00:00:00","2022-07-19 00:00:00"
596,"Leeds Nutritank Committee Elections",430,"Leeds Nutritank (Medics and Dentists)","2022-05-28 00:00:00","2022-05-30 23:00:00"
597,"Commuters' Society AGM (Secretary roles)",85,Commuters,"2022-05-25 17:01:00","2022-06-06 21:15:00"
598,"Comedy AGM",82,"Comedy Society","2022-06-14 17:29:00","2022-07-12 17:29:00"
599,"A Cappella AGM",1,"A Cappella","2022-06-12 18:00:00","2022-06-13 20:00:00"
600,"AGM Committee 2022/2023",24,"Association Football (m)","2022-05-25 14:01:00","2022-05-25 23:59:00"
601,"Hung Kuen AGM",166,"Hung Kuen","2022-05-28 15:05:00","2022-05-31 23:58:00"
602,"Heelz Dance elections",480,"Heelz Dance","2022-06-01 00:00:00","2022-06-13 00:00:00"
603,"Leeds Orthodox Christian Society AGM",267,"Orthodox Christian","2022-05-28 14:01:00","2022-05-29 22:00:00"
604,"Horse Riding EGM",164,"Horse Riding","2022-05-27 10:02:00","2022-05-27 17:02:00"
605,"Horse Riding lessons organiser",164,"Horse Riding","2022-05-28 00:01:00","2022-05-30 11:00:00"
606,"BSoc Committee Elections 2022/23",43,Bengali,"2022-06-19 00:00:00","2022-06-22 12:00:00"
607,"Cross Country EGM",93,"Cross Country","2022-06-05 17:01:00","2022-06-08 21:00:00"
608,"Education Society AGM",454,"Education Society","2022-06-01 07:40:00","2022-06-02 15:16:00"
609,"LOMSS AGM",265,"Oral Medicine & Surgery","2022-06-15 00:10:00","2022-07-08 23:59:00"
611,Treasurer,461,"Social Work","2022-06-11 12:43:00","2022-06-13 12:43:00"
612,"Greek and Cypriot Society of Leeds AGM",142,"Greek and Cypriot","2022-06-05 23:15:00","2022-06-07 12:02:00"
613,"Triathlon EGM",369,Triathlon,"2022-06-10 00:00:00","2022-06-12 00:00:00"
614,"SSAFE EGM 2022/23",336,"SSAFE (Suicide Support and Awareness for Everyone)","2022-06-20 00:05:00","2022-06-24 17:00:00"
615,"Dentsoc Committee Election 2022/23",103,DentSoc,"2022-06-06 13:00:00","2022-06-10 19:00:00"
616,"Music Impact in the Community (LUUMIC) Committee Election",218,"LUUMIC (Music Impact in the Community)","2022-09-13 15:00:00","2022-09-17 14:00:00"
617,"BioSoc AGM election",49,BioSoc,"2022-06-21 08:00:00","2022-06-28 23:59:00"
618,"Table Tennis EGM",351,"Table Tennis","2022-06-09 00:00:00","2022-06-12 23:59:00"
619,"Judo AGM",184,Judo,"2022-06-22 00:01:00","2022-07-06 00:00:00"
620,"Activities Executive Election",0,"Not Set","2022-06-20 09:00:00","2022-06-23 23:00:00"
621,"British Chinese Society Public Relations Officer EGM 2022-2023",58,"British Chinese","2022-06-12 14:50:00","2022-06-15 14:50:00"
622,"presidential election",161,Homed,"2022-06-15 22:07:00","2022-06-18 23:59:00"
623,"A Cappella AGM RON positions",1,"A Cappella","2022-06-18 09:00:00","2022-06-18 18:00:00"
624,"Leeds ISoc AGM 2022",178,Islamic,"2022-06-26 00:01:00","2022-06-30 12:00:00"
627,"Open Theatre EGM",263,"Open Theatre","2022-06-22 15:31:00","2022-06-29 15:31:00"
628,"Economics Society EGM",111,"Economics Society","2022-06-25 00:00:00","2022-06-30 22:00:00"
629,"East Africa Society EGM",109,"East African","2022-06-26 00:01:00","2022-07-08 21:25:00"
630,"Band Soc AGM",34,"Band Soc","2022-06-28 09:00:00","2022-07-03 08:59:00"
631,"22/23 Ksoc Election",188,Korean,"2022-06-20 09:09:00","2022-06-22 03:09:00"
632,"Triathlon EGM 2",369,Triathlon,"2022-07-12 00:00:00","2022-07-18 00:00:00"
633,"Leeds Friends of MSF AGM (Round 2)",135,"Friends of MSF","2022-06-29 19:01:00","2022-07-06 18:59:00"
634,"British Chinese Society Public Relations Officer EGM 2022-2023",58,"British Chinese","2022-06-23 00:01:00","2022-06-25 00:00:00"
635,"Leeds Orthodox Christian Society AGM",267,"Orthodox Christian","2022-06-23 14:03:00","2022-06-24 22:59:00"
636,"CardioSoc EGM",448,"CardioSoc (Medics and Dentists)","2022-06-30 09:00:00","2022-07-02 23:59:00"
637,"Taiwanese Society AGM",353,Taiwanese,"2022-07-03 00:00:00","2022-07-10 00:00:00"
638,"Leeds Womens Basketball EGM",39,"Basketball (w)","2022-06-27 12:32:00","2022-07-02 12:31:00"
639,"Ballet Society EGM",33,Ballet,"2022-07-17 00:00:00","2022-07-20 16:00:00"
640,"Ophthalmology Society EGM- elections",470,"Ophthalmology Society (Medics and Dentists)","2022-07-05 00:00:00","2022-07-07 00:00:00"
641,"Sci Fi EGM",310,"Sci Fi and Fantasy","2022-07-11 12:00:00","2022-07-18 20:00:00"
642,"Development Netball 2022/23 EGM",467,"Development Netball","2022-07-05 09:40:00","2022-07-12 18:00:00"
643,"Palestine Solidarity Group Election",271,"Palestine Solidarity Group","2022-07-11 08:00:00","2022-07-14 23:59:00"
644,"Stage Musicals Society EGM",339,"Stage Musicals Society","2022-07-12 00:00:00","2022-07-18 00:00:00"
645,**ERROR**,218,"LUUMIC (Music Impact in the Community)","2022-07-12 15:19:00","2022-07-17 15:19:00"
646,"Photography Society EGM",472,Photography,"2022-07-22 09:01:00","2022-07-22 10:48:00"
647,"Mech eng society 2022-2023",230,"Mechanical Engineering (Mech Eng Soc)","2022-07-23 17:00:00","2022-07-28 17:00:00"
